Dataset,Algorithm,Grid Size,Total Placements,Residential,Utility,Score,Time (s),Peak Memory (MB),Parameters
b_short_walk,genetic_algorithm,1000x1000,103969,20945,83024,1807734,2022.5660,15832.0827,"population_size=40, generations=95, elite_size=3, tournament_size=4, crossover_rate=0.9, mutation_rate=0.42, max_runtime_s=2000, seed=2251, top_k_res=45, destroy_repair_rate=0.4, crossover_type=spatial, min_population_size=28, max_population_size=60, stagnation_generations=8, population_growth_step=10, population_shrink_step=5"
b_short_walk,genetic_algorithm,1000x1000,103969,20945,83024,1807734,1947.2369,15831.8429,"population_size=40, generations=95, elite_size=3, tournament_size=4, crossover_rate=0.9, mutation_rate=0.42, max_runtime_s=2000, seed=2351, top_k_res=45, destroy_repair_rate=0.4, crossover_type=spatial, min_population_size=28, max_population_size=60, stagnation_generations=8, population_growth_step=10, population_shrink_step=5"
b_short_walk,genetic_algorithm,1000x1000,103931,20923,83008,1806878,807.9235,15831.7108,"population_size=40, generations=95, elite_size=3, tournament_size=4, crossover_rate=0.9, mutation_rate=0.42, max_runtime_s=2000, seed=2451, top_k_res=45, destroy_repair_rate=0.4, crossover_type=spatial, min_population_size=28, max_population_size=60, stagnation_generations=8, population_growth_step=10, population_shrink_step=5"
b_short_walk,genetic_algorithm,1000x1000,103988,20946,83042,1808812,1393.5809,16056.1863,"population_size=40, generations=95, elite_size=3, tournament_size=4, crossover_rate=0.9, mutation_rate=0.42, max_runtime_s=2000, seed=2551, top_k_res=45, destroy_repair_rate=0.4, crossover_type=spatial, min_population_size=28, max_population_size=60, stagnation_generations=8, population_growth_step=10, population_shrink_step=5"
b_short_walk,genetic_algorithm,1000x1000,104026,20966,83060,1809840,1692.2948,16073.0159,"population_size=40, generations=95, elite_size=3, tournament_size=4, crossover_rate=0.9, mutation_rate=0.42, max_runtime_s=2000, seed=2651, top_k_res=45, destroy_repair_rate=0.4, crossover_type=spatial, min_population_size=28, max_population_size=60, stagnation_generations=8, population_growth_step=10, population_shrink_step=5"
b_short_walk,genetic_algorithm,1000x1000,103879,20904,82975,1804898,193.4548,14611.2320,"population_size=40, generations=95, elite_size=3, tournament_size=4, crossover_rate=0.9, mutation_rate=0.42, max_runtime_s=2000, seed=2428, top_k_res=45, destroy_repair_rate=0.4, crossover_type=score_aware, min_population_size=28, max_population_size=60, stagnation_generations=8, population_growth_step=10, population_shrink_step=5"
b_short_walk,genetic_algorithm,1000x1000,104414,21189,83225,1815135,761.2909,14604.3089,"population_size=40, generations=95, elite_size=3, tournament_size=4, crossover_rate=0.9, mutation_rate=0.42, max_runtime_s=2000, seed=2528, top_k_res=45, destroy_repair_rate=0.4, crossover_type=score_aware, min_population_size=28, max_population_size=60, stagnation_generations=8, population_growth_step=10, population_shrink_step=5"
b_short_walk,genetic_algorithm,1000x1000,103905,20915,82990,1805807,301.0986,14604.3089,"population_size=40, generations=95, elite_size=3, tournament_size=4, crossover_rate=0.9, mutation_rate=0.42, max_runtime_s=2000, seed=2628, top_k_res=45, destroy_repair_rate=0.4, crossover_type=score_aware, min_population_size=28, max_population_size=60, stagnation_generations=8, population_growth_step=10, population_shrink_step=5"
b_short_walk,genetic_algorithm,1000x1000,104751,21364,83387,1821840,1155.1179,14604.3089,"population_size=40, generations=95, elite_size=3, tournament_size=4, crossover_rate=0.9, mutation_rate=0.42, max_runtime_s=2000, seed=2728, top_k_res=45, destroy_repair_rate=0.4, crossover_type=score_aware, min_population_size=28, max_population_size=60, stagnation_generations=8, population_growth_step=10, population_shrink_step=5"
b_short_walk,genetic_algorithm,1000x1000,104414,21189,83225,1815135,789.0512,14604.3089,"population_size=40, generations=95, elite_size=3, tournament_size=4, crossover_rate=0.9, mutation_rate=0.42, max_runtime_s=2000, seed=2828, top_k_res=45, destroy_repair_rate=0.4, crossover_type=score_aware, min_population_size=28, max_population_size=60, stagnation_generations=8, population_growth_step=10, population_shrink_step=5"
